"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","Battery A (Primary)","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"2","BT2","1","Battery B (Secondary)","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"3","BZ1, BZ2","2","Buzzer","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"4","C1, C2, C3","3","1n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"5","C4, C7, C8, C11","4","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"6","C5","1","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"7","C6","1","4.7u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"8","C9, C10","2","22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"9","D1, D2, D3","3","D","Package_TO_SOT_SMD:TO-277B",""
"10","D7, D10, D14, D15, D16","5","D","Diode_SMD:D_0805_2012Metric",""
"11","D8, D9, D17, D18","4","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"12","D11","1","LED_RGB","LED_SMD:LED_RGB_5050-6",""
"13","F1, F2, F3, F4","4","10A","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open",""
"14","J1","1","Conn_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"15","J2, J3, J4, J5, J6, J7","6","Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm",""
"16","J8, J9, J10, J17","4","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"17","J11","1","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_GCT_USB4085",""
"18","J12","1","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"19","J13","1","USB_A","Connector_USB:USB_A_Molex_67643_Horizontal",""
"20","J14, J15","2","USB_A_Stacked","Connector_USB:USB_A_Wuerth_61400826021_Horizontal_Stacked",""
"21","J16","1","Conn_01x06_Socket","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal",""
"22","J18","1","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"23","M1","1","Fan","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"24","Q1, Q4, Q22, Q23","4","IRF4905","Package_TO_SOT_SMD:TO-263-2",""
"25","Q2, Q3, Q5, Q6, Q8, Q9, Q10, Q12, Q13, Q14, Q15, Q16, Q19, Q20, Q21, Q24, Q25, Q26","18","BC817","Package_TO_SOT_SMD:SOT-23",""
"26","Q11","1","BCX56","Package_TO_SOT_SMD:SOT-89-3",""
"27","R1, R2, R3, R4, R5, R6, R16, R19, R40, R43, R45, R46","12","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"28","R7, R13, R17, R34, R37","5","220K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"29","R8, R14, R18, R35, R38, R50, R52, R54","8","15K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"30","R9, R10, R11, R20, R21, R22, R23, R26, R28, R30, R39, R41, R44, R47, R48, R55, R56, R59, R60","19","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"31","R24, R25","2","100K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"32","R27, R29, R57, R58","4","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"33","R31, R32, R42","3","220R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"34","R49, R51, R53","3","22K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"35","SW1","1","SW_Push_LED","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"36","SW2, SW3, SW4","3","SW_Push","Button_Switch_SMD:SW_SPST_TL3342",""
"37","U1, U2, U3","3","ACS712xLCTR-20A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"38","U4","1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32",""
"39","U5","1","CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"40","U6","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"41","U7, U8","2","MCP3428","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"42","Y1","1","12MHz","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",""
