"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","Battery A (Primary)","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","" 
"2","BT2","1","Battery B (Secondary)","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"3","BZ1, BZ2","2","Buzzer","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"4","C1, C2, C3","3","1n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","" K
"5","C4, C7, C8, C11, C18","5","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","" K
"6","C5, C22, C23, C27","4","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","" K
"7","C6","1","4.7u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","" K
"8","C9, C10","2","22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","" K
"9","C12, C17","2","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","" K
"10","C13, C14","2","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","" K
"11","C19, C20, C21","3","MAL215097001E3","SamacSys_Parts:CAPAE1050X1050N","" K
"12","C24, C25, C26","3","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","" K
"13","D1, D2, D25","3","V15PM15HM3_H","V10P20M386A","" K
"14","D4, D5, D6, D10, D11, D12, D13, D19, D20, D21, D22, D23, D24","13","Inolux_IN-PI556FCH","LED_SMD:LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm","" K
"15","D7, D14, D15, D16","4","D","Diode_SMD:D_0805_2012Metric","" K
"16","D8, D9, D17, D18","4","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","" K
"17","F1, F2, F3, F4","4","10A","SamacSys_Parts:00318263","" K
"18","F5, F8","2","0.5A","Fuse:Fuse_2512_6332Metric_Pad1.52x3.35mm_HandSolder","" K
"19","F6, F15","2","5A","Fuse:Fuse_2512_6332Metric_Pad1.52x3.35mm_HandSolder","" K
"20","F7","1","3.5A","Fuse:Fuse_2512_6332Metric_Pad1.52x3.35mm_HandSolder",""
"21","F9, F10, F11, F12, F13, F14","6","10A","Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","" K
"22","FB1","1","FerriteBead_Small","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","" K
"23","IC1, IC2","2","PCF8574T_3,518","SamacSys_Parts:SOIC127P1032X265-16N","" K
"24","IC3, IC4","2","ADS1115BQDGSRQ1","SOP50P490X110-10N","" K
"25","IC5, IC6, IC7, IC8, IC9, IC10, IC11, IC12","8","M74VHC1GT50DTT1G","SOT95P275X110-5N","" K
"26","J1","1","Conn_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"27","J2, J3, J5","3","Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm",""
"28","J4","1","5-2337992-4","523379924","" K
"29","J6, J13, J15, J20, J22, J27","6","3-794620-6","SamacSys_Parts:37946206","" K
"30","J7","1","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"31","J8, J9, J10, J17","4","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"32","J11","1","USB_B_Micro","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal",""
"33","J12, J19, J21","3","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"34","J14","1","USB_A_Stacked","Connector_USB:USB_A_Wuerth_61400826021_Horizontal_Stacked","" K
"35","J16","1","Conn_01x06_Socket","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"36","J18","1","USB_B","SamacSys_Parts:USB1030GFPBB","" K
"37","JP1, JP2, JP3, JP4","4","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"38","LS1","1","CMT-8504-100-SMT-TR","SamacSys_Parts:CMT8504100SMTTR","" K
"39","LS2","1","PT-1241PFQ","SamacSys_Parts:PT1241PFQ","" K
"40","M1","1","Fan","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"41","PS1, PS2","2","RPMB12-2.0-CT","SamacSys_Parts:RPMB1220CT",""
"42","Q1, Q4, Q22, Q23","4","IRF4905","Package_TO_SOT_SMD:TO-263-2","" K
"43","Q3, Q5, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q18, Q19, Q20, Q28, Q37, Q40, Q42","16","BC817","Package_TO_SOT_SMD:SOT-23","" K
